emissions_total_per_capita	renewable_share_of_electricity__pct
0.28854162	82.90598
0.2859553	83.17757
0.29706287	85.0
0.25679472	84.33735
0.26018026	84.33735
1.6913085	100.0
1.6731355	100.0
1.640428	100.0
1.8017042	100.0
1.8296225	100.0
4.0631776	1.0168166
4.1554136	1.0296642
3.8185754	0.9214845
4.012335	0.77238154
4.058243	0.77114993
3.8586802	0.8541283
0.74464995	79.45205
0.68097985	73.19849
0.49424374	75.60976
0.55587184	75.43027
0.5682681	75.02951
6.7725687	2.7777777
7.020848	2.7777777
6.74395	5.714286
6.9060183	5.714286
6.6604347	5.5555553
4.0443406	23.995094
3.969191	24.926538
3.65377	25.318031
4.217578	24.18544
4.4943905	28.727707
4.2998033	34.699863
2.0008378	30.434782
2.164008	32.17624
2.3506444	25.13089
2.5840976	32.253887
2.4869792	26.567844
8.195481	15.625001
7.735446	15.463918
7.6447096	15.463918
7.9738107	15.306123
7.7149777	15.306123
16.544464	18.844
16.315792	20.78225
15.506062	24.236483
14.987446	28.891378
14.66979	33.215137
14.478505	36.07261
7.528234	77.40839
7.650861	77.29523
6.9693084	80.27231
7.333269	79.10918
6.783409	78.054474
6.415725	84.48328
3.4431703	7.75965
3.7333274	6.8978806
3.5586586	5.1262136
3.7416196	5.469593
3.9233098	6.3579817
4.2582173	6.8625546
6.20514	0.0
6.3506823	0.0
5.137396	0.0
6.2495623	0.0
6.0420437	0.0
21.790699	0.033840947
25.295322	0.030211482
25.215979	0.029967038
24.10311	0.029515937
23.25017	0.02813731
0.52965784	1.737917
0.5748978	1.3086536
0.57399553	1.5112162
0.64190555	1.4217018
0.67221427	1.3040495
0.6615086	1.5081774
5.25944	2.8846154
5.0809	3.773585
4.3926697	6.603774
4.16765	7.54717
4.0504413	7.3394494
6.5566535	2.0774558
6.5812345	2.57044
6.315496	3.502854
6.586977	3.2429817
6.4736867	3.392025
6.197136	2.7083464
8.763881	23.24039
8.675304	20.99471
7.9053583	26.563208
8.200483	22.869505
7.6450696	25.759508
7.1177025	33.05825
1.5901606	92.68293
1.8330257	86.53847
1.4945173	82.14286
1.5507295	82.14286
1.5705292	80.64516
0.4577955	0.0
0.41347355	1.8518518
0.42215323	1.010101
0.42936745	1.7699115
0.420974	1.7699115
10.909888	1.5625
9.262487	1.6393442
6.7752743	1.6949153
7.9945526	1.6949153
7.7376037	1.5873016
2.2825263	100.0
2.1169295	100.0
1.6237977	100.0
2.058052	100.0
2.094222	100.0
1.9549538	30.152283
1.9368082	36.873158
1.5497013	35.843372
1.8225433	37.523453
1.852948	35.013035
1.9078085	28.806585
6.517693	34.34714
6.220446	36.681976
6.3140154	29.184036
6.553135	39.00054
6.541299	33.474323
6.3356104	40.71006
3.3229713	0.32154343
2.884646	0.3984064
2.3462896	0.4587156
2.5022633	0.4016064
2.7032576	0.38022813
2.3210206	82.35754
2.281887	81.38569
2.1336453	83.16687
2.3765988	77.36203
2.3006465	87.3695
2.3040092	88.68169
4.6541758	0.0
5.0373955	0.0
4.836377	0.0
4.847843	0.0
4.637814	0.0
21.34535	0.0
24.247364	0.0
24.939121	0.0
25.931751	0.0
24.936909	0.0
6.203401	20.167707
6.0594864	17.131746
5.285019	18.609865
6.168972	21.833967
6.8806005	19.056152
5.311196	25.906475
0.25570914	20.90909
0.2681528	26.25
0.25035635	28.378378
0.28593773	30.263159
0.28317067	31.168833
0.05439388	62.96296
0.05620691	66.666664
0.058575917	72.72727
0.059800673	66.666664
0.053095266	66.666664
0.8561779	57.97102
1.1303334	48.13137
1.1380401	49.554565
1.1339663	51.74418
1.1399238	50.737793
0.3969762	58.8993
0.37661535	62.863792
0.37067682	61.0
0.35686532	63.25
0.36354846	62.315273
15.527008	65.56212
15.404461	65.399445
13.795024	66.7534
14.050852	66.883125
14.183269	68.29379
13.977411	66.13482
1.113411	20.930233
1.2259234	18.181818
1.0038707	16.666668
1.0567663	16.666668
1.067888	16.27907
0.045061998	100.0
0.045942098	100.0
0.047380097	100.0
0.04730473	100.0
0.05306467	100.0
0.14752656	6.25
0.13781506	6.060606
0.13680673	5.714286
0.14977048	5.714286
0.16281013	5.714286
4.4692864	42.859005
4.791046	41.64621
4.1391754	43.807076
4.29965	42.706417
4.221193	52.95602
3.9314575	60.818085
7.2818375	25.610998
7.5264006	26.848654
7.6471825	28.08742
8.025529	28.69294
7.964287	30.175854
8.366814	30.6804
1.7691385	76.332954
1.893445	69.48464
1.7723011	65.11539
1.842679	75.01777
1.8998168	71.93991
2.0114	66.48605
0.37041378	0.0
0.3959646	0.0
0.46592182	0.0
0.6090746	0.0
0.54057914	0.0
1.1939441	35.27508
1.2985791	23.224043
1.334546	23.498695
1.2583876	22.900763
1.3440192	22.5
4.6390934	40.0
4.77735	25.0
4.222279	25.0
4.5926905	50.0
4.8471375	50.0
1.6161269	98.6014
1.5398297	99.12511
1.344883	99.8295
1.5113176	100.0
1.5442157	100.0
1.621601	95.74646
0.37922928	29.880478
0.37367776	33.11445
0.38095695	30.550621
0.46117318	23.876652
0.44888514	31.02518
4.39835	72.33727
4.472901	66.00791
4.2696104	64.625854
4.436339	69.68895
4.5068507	63.83427
4.497998	68.98996
2.0503552	3.646833
2.0079126	4.391892
1.9037757	4.8293967
2.027723	4.6446557
1.9785471	4.6600876
5.7629395	9.486166
5.70816	10.097087
5.3869967	12.371135
5.443375	15.234375
5.40629	16.730038
5.3342433	20.222635
10.080272	10.859052
9.569924	11.735885
8.689388	12.908864
9.17754	12.718144
8.91092	12.873179
7.92107	14.87267
0.041907594	99.90663
0.044339374	99.911575
0.04481212	99.91639
0.043051984	100.0
0.045222025	100.0
5.972235	68.68587
5.3214316	78.54954
4.8519464	82.050385
5.051886	79.28311
4.816581	81.427345
4.5837965	87.60036
0.44332924	0.0
0.49899417	0.0
0.41900718	0.0
0.47408453	0.0
0.43468726	0.0
2.3659525	18.181818
2.5376952	14.285714
2.3328595	25.0
2.3999047	25.0
2.3398602	23.529411
2.3888187	14.818548
2.6046193	12.202236
2.4541068	18.392859
2.7721057	14.50752
2.7096121	14.206127
0.483596	0.0
0.51920164	0.0
0.4875513	0.0
0.459349	0.0
0.47420487	0.0
2.2539744	72.38292
2.3103745	78.118225
1.8756075	79.64206
2.16058	81.19552
2.2734714	80.94946
2.4011562	80.83458
2.358181	8.2551775
2.4057102	10.24631
2.1530209	12.3766365
2.3516853	11.80062
2.4078574	11.9342785
2.3486664	11.787243
1.0068917	77.85977
1.2138822	71.10016
1.0577208	84.518166
1.211914	84.40945
1.2420157	91.02362
1.304408	63.434906
4.362631	32.59259
3.3138647	32.142857
3.7353525	34.751774
4.047854	32.867134
3.7847974	32.65306
0.19513549	2.857143
0.19906436	2.7777777
0.19473332	2.7027028
0.2034651	2.631579
0.18286084	2.631579
13.465802	16.087309
9.261651	28.120895
6.917965	48.848686
7.802623	39.91655
8.708775	31.685394
7.3282313	44.290123
0.8839588	95.918365
0.9502872	91.83673
0.9400464	92.452835
0.83814645	92.98245
0.88582075	93.103455
0.1401208	100.0
0.14892082	99.93365
0.13328455	99.93683
0.13231507	99.93565
0.12088377	99.93515
14.221595	48.57143
14.283498	39.473686
14.42602	39.02439
14.646098	38.095238
14.632135	38.095238
1.4780109	56.730766
1.4818621	56.363636
1.0972939	60.784313
1.1951271	60.39604
1.2201303	59.615387
8.291627	45.763916
7.686383	46.46553
6.8179035	51.89197
6.821489	52.946888
6.5299587	53.374146
5.6456437	51.92886
4.9136486	19.708992
4.7926087	19.984798
4.25596	23.713062
4.6245623	22.171526
4.4283843	24.310215
4.101157	26.290094
3.143086	29.411764
3.1913288	30.985916
2.9793313	32.35294
3.130068	32.857143
3.1985233	32.857143
2.5164337	44.052864
2.3507752	43.66812
2.42184	42.016804
2.327388	42.735043
2.400404	42.016804
0.27026686	0.0
0.28932655	0.0
0.27818328	0.0
0.28163114	0.0
0.279729	0.0
2.651641	82.47508
2.8674045	76.05397
2.7860782	74.731186
2.9285443	81.17088
3.0376725	76.210526
3.091041	76.07789
9.116714	35.25811
8.494904	40.18897
7.752807	44.37406
8.109933	40.218536
7.9855165	44.30719
7.051025	52.409912
0.49580094	40.710934
0.52523965	42.31214
0.6011012	37.354282
0.63182783	34.782608
0.61199224	34.0
6.6889873	30.678577
6.132962	33.57664
5.192684	36.93959
5.436849	40.800148
5.577904	43.479946
5.388754	50.101254
9.716159	75.92593
9.906785	75.4717
9.582454	79.36508
10.115214	79.36508
10.499258	76.78571
2.661156	0.0
2.8441563	0.0
2.488788	0.0
2.6699815	0.0
2.7461755	4.0
1.0995575	67.22628
1.128632	65.69507
0.9889047	76.243095
1.1253756	67.99375
1.070928	67.4772
0.24888608	51.00671
0.30081806	63.90244
0.33650035	71.96532
0.3009134	67.333336
0.29839563	66.44737
0.1620295	0.0
0.1638662	0.0
0.14741816	0.0
0.14771359	0.0
0.14682977	0.0
3.1622431	1.7699115
3.412209	2.631579
4.162018	1.7699115
4.391797	1.754386
4.4148493	1.754386
0.31075293	18.269232
0.28168207	16.037737
0.28798378	13.207548
0.30625582	12.62136
0.29390442	13.461539
1.0098408	64.15095
1.1282444	55.225224
0.94135344	57.196613
0.9900977	62.760414
1.0016918	63.030807
5.702032	0.4101723
5.597313	0.43313482
4.472128	0.53824365
4.504877	0.61794734
4.2234635	0.6399555
4.550918	0.9582091
5.051615	11.762871
5.032163	13.710618
4.8318176	15.807561
4.9785724	19.141275
4.630455	21.420582
4.1491246	25.698324
10.393721	100.0
9.860175	100.0
9.113012	100.0
9.415825	100.0
9.5004835	100.0
9.708997	99.96667
1.886328	16.692839
1.8810879	18.689354
1.7264521	19.954615
1.8909733	19.448202
1.9861935	20.499144
2.129469	19.513695
2.2007682	17.047817
2.3993292	16.260492
2.213211	18.124186
2.23886	18.166538
2.6434436	19.610842
2.6075745	18.594606
8.009745	3.4672642
8.447259	11.010066
8.62491	7.393238
8.815236	4.8214755
8.944471	2.714503
9.026508	4.393576
4.5889473	2.2873828
4.6182113	5.707789
3.825463	4.9397163
3.6926064	3.9572937
3.8864813	2.3444936
3.9148493	2.7341218
8.006022	33.00971
7.5653806	38.391403
7.0494823	42.083855
7.4664645	36.71207
7.1842723	38.832638
6.6260405	43.684376
7.048836	2.546195
6.775189	4.5769763
6.7220626	6.0765815
6.5983253	7.5397363
6.6951056	9.945989
6.4269466	10.4693365
5.7909245	39.995106
5.6483135	39.942757
5.0507216	42.231133
5.6250086	40.74749
5.714151	35.80869
5.2682986	43.720013
2.8674781	14.646464
3.356447	12.715517
2.4383793	13.785046
2.5886042	13.333334
2.5137622	13.507625
9.002051	17.071156
8.725205	17.576868
8.237897	19.576511
8.449326	21.181513
8.261658	21.956364
7.95029	23.830055
2.4031124	10.603829
2.3188925	14.417925
1.9291415	18.937197
1.8649886	22.98689
1.799406	22.862368
16.22455	10.170598
14.330919	10.415101
13.113933	10.991439
12.92284	10.940215
12.69876	11.791542
12.550943	12.759045
0.37520593	89.1748
0.38661912	90.61962
0.4209686	94.22414
0.41928962	92.12925
0.39440462	91.990295
0.38907567	94.016396
0.540351	0.0
0.5323819	0.0
0.52316284	0.0
0.51386094	0.0
0.5177368	0.0
4.550919	5.076143
4.780439	4.88189
4.8255777	5.3731346
5.0625577	6.512301
5.0598	6.512301
4.9275312	11.477987
24.685282	0.080906145
24.436037	0.17317171
21.73922	0.28093645
21.815344	0.23520674
21.235703	0.23140113
20.508173	0.22016734
1.7616013	90.949936
1.3925191	91.58317
1.2527564	90.77922
1.5140777	85.60105
1.442273	85.92058
2.884135	65.078445
2.6362908	63.476315
2.6531994	71.596596
3.0592737	73.552986
3.1004407	72.99238
4.0763845	51.934525
3.9956133	49.53416
3.6810806	63.636368
3.8387253	63.589745
3.5192242	75.7515
3.4600034	76.64
4.371076	2.116651
4.4285336	5.2314816
4.1763225	6.6885967
3.373741	9.284332
3.2940342	9.452736
1.08566	100.0
1.0812736	100.0
0.9718533	100.0
1.5148556	100.0
1.6764951	100.0
0.12250325	0.0
0.18471907	0.0
0.15140018	62.352936
0.14879552	67.948715
0.1474119	67.0886
9.537564	0.029256875
10.969283	0.028876696
4.859569	0.033898305
7.924283	0.032237265
7.966225	0.033025097
4.80661	75.34246
4.904179	73.952095
4.851269	54.680855
4.956657	60.93023
4.5641627	75.24272
4.366298	76.43885
15.734253	70.833336
15.741836	74.76635
12.806264	79.508194
13.152365	80.4878
11.138974	85.59322
10.5150585	92.105255
1.8855948	27.692308
1.8076055	26.190477
1.5127505	33.92857
1.4774982	42.0
1.472118	40.816326
0.13575959	48.80383
0.15226129	44.036697
0.13728699	41.2037
0.15004274	37.554585
0.14158493	36.864407
0.092995554	81.56425
0.09044499	95.59748
0.09051806	99.346405
0.094012946	93.84616
0.084993675	94.07407
7.980434	16.59632
8.368345	16.10084
7.7663965	18.18289
7.967726	19.739931
8.227246	19.101
8.2224455	19.158428
3.678995	3.7974682
4.087055	3.7037036
3.3423467	4.878049
3.8193066	5.952381
3.851452	7.058823
0.25429645	42.899406
0.27684134	33.333336
0.2969476	32.80757
0.30756667	33.333332
0.30288965	39.733334
3.1937	10.152284
3.2715886	10.144928
3.0885165	11.627907
3.0721867	12.162163
3.3582027	13.043479
3.4193249	21.011675
1.0263102	29.655172
1.0341662	29.48718
1.0394421	29.268293
0.95105034	30.674847
0.93888414	30.0
3.4599402	20.512821
3.515224	21.671827
2.9667716	24.13793
3.1039515	21.404682
3.0783277	19.373219
3.7601306	15.891784
3.7231612	16.690367
3.3828366	21.308407
3.500515	24.887878
3.6181056	24.048254
3.7199361	19.595858
1.7230734	5.947955
1.7654533	6.502636
1.7065568	5.825243
1.9345789	6.606607
1.9046298	9.210526
1.9439814	9.67742
14.305717	6.697108
14.617127	9.942363
11.265909	10.240964
12.532064	11.155914
12.821953	11.0256405
13.657199	10.74074
3.8974926	59.210526
4.049645	56.26822
3.9600255	52.212387
3.9928653	61.803715
3.889522	53.172207
3.6754034	60.243904
6.437953	0.0
4.8594165	0.0
4.892945	0.0
4.915921	0.0
4.81346	0.0
1.7384603	19.8206
1.898318	19.787024
1.7648122	19.175259
1.9008626	19.806295
1.8619709	18.184013
1.82082	21.024067
0.24157462	81.79697
0.23761947	79.35756
0.2071267	83.49106
0.24812852	82.97985
