Effective_Federal_Funds_Rate	Inflation_Rate
2.72	3.2
1.67	3.2
1.2	2.8
1.26	2.4
0.63	2.4
0.93	2.1
0.68	2.4
1.53	2.1
1.76	1.7
1.8	1.7
2.27	1.7
2.42	1.7
2.48	1.7
2.43	1.7
2.8	1.7
2.96	1.7
2.9	2.0
3.39	2.0
3.47	2.0
3.5	2.0
3.76	2.4
3.98	2.7
4.0	2.0
3.99	2.0
3.99	2.0
3.97	2.3
3.84	2.0
3.92	2.0
3.85	1.7
3.32	1.7
3.23	1.3
2.98	1.3
2.6	1.0
2.47	1.0
2.44	1.0
1.98	1.0
1.45	1.0
2.54	0.7
2.02	0.7
1.49	1.0
1.98	1.0
1.73	1.0
1.17	1.3
2.0	1.3
1.88	1.6
2.26	1.3
2.61	1.3
2.33	1.3
2.15	1.3
2.37	1.3
2.85	1.6
2.78	1.3
2.36	1.6
2.68	1.6
2.71	1.3
2.93	1.3
2.9	1.3
2.9	1.3
2.94	1.3
2.93	1.3
2.92	1.0
3.0	1.0
2.98	1.0
2.9	1.3
3.0	1.0
2.99	1.3
3.02	1.3
3.49	1.6
3.48	1.3
3.5	1.3
3.48	1.6
3.38	1.6
3.48	1.9
3.48	1.9
3.43	1.9
3.47	1.6
3.5	1.6
3.5	1.6
3.42	1.6
3.5	0.9
3.45	1.3
3.36	1.3
3.52	1.2
3.85	1.2
3.9	1.6
3.98	1.6
4.04	1.2
4.09	1.6
4.1	1.6
4.04	1.2
4.09	1.2
4.12	1.6
4.01	1.5
4.08	1.5
4.1	1.2
4.32	1.5
4.42	0.9
4.6	1.2
4.65	1.5
4.67	1.8
4.9	2.1
5.17	2.4
5.3	2.8
5.53	3.1
5.4	3.0
5.53	3.3
5.76	3.6
5.4	3.3
4.94	3.6
5.0	3.6
4.53	3.6
4.05	3.3
3.94	3.3
3.98	3.3
3.79	3.3
3.9	3.3
3.99	3.6
3.88	3.5
4.13	3.5
4.51	3.8
4.6	4.1
4.71	4.1
5.05	4.4
5.76	4.4
6.11	4.3
6.07	4.6
6.02	4.9
6.03	4.9
5.78	4.9
5.91	4.8
5.82	5.1
6.02	5.1
6.3	5.1
6.61	5.3
6.79	5.6
7.41	6.1
8.67	6.1
8.9	5.8
8.61	5.8
9.19	5.8
9.15	6.0
9.0	6.0
8.85	5.9
8.97	6.2
8.98	6.2
8.98	6.1
7.76	6.1
8.1	5.8
7.94	6.0
7.6	6.5
7.21	6.2
6.61	6.2
6.29	6.2
6.2	6.4
5.6	6.6
4.9	6.6
4.14	6.3
3.72	5.8
3.71	5.2
4.15	5.0
4.63	5.2
4.91	4.9
5.31	4.9
5.56	4.6
5.55	4.4
5.2	3.8
4.91	3.3
4.14	3.1
3.5	3.1
3.29	3.3
3.83	3.3
4.17	3.3
4.27	3.1
4.46	2.8
4.55	2.8
4.8	3.3
4.87	2.8
5.04	3.0
5.06	3.0
5.33	3.0
