InterestShortUK	InterestLongUK
6.49	10.61
5.7	10.39
5.98	11.2
5.44	11.91
7.03	12.28
9.18	12.48
10.31	12.37
8.45	12.23
8.23	12.38
8.73	12.72
10.27	13.09
11.0	13.12
11.12	13.55
12.56	13.99
12.46	12.08
11.46	11.39
11.5	11.75
11.73	12.56
13.43	12.34
13.58	12.26
13.29	12.56
13.26	13.09
13.21	14.76
15.58	15.02
17.1	14.41
17.41	14.74
17.19	14.93
16.92	14.42
17.01	14.11
18.32	13.78
17.67	13.08
16.36	13.7
16.32	13.47
17.34	13.2
15.29	13.34
13.83	13.78
13.9	13.97
14.13	13.84
14.28	13.66
11.69	13.66
11.16	14.4
10.32	14.69
11.93	15.28
12.6	15.23
13.12	15.81
15.99	16.34
15.64	15.72
13.55	16.0
14.23	15.94
14.3	15.09
13.81	14.01
12.4	14.2
13.13	13.89
12.84	13.75
12.68	13.35
11.63	12.21
11.0	11.51
10.43	10.69
9.37	10.8
10.71	11.58
11.08	11.87
11.34	11.79
11.05	11.38
10.57	11.06
10.34	11.16
9.83	10.99
9.23	11.53
9.22	11.72
9.81	11.25
9.16	11.02
9.04	10.68
8.99	10.77
9.14	10.77
9.24	10.87
9.06	10.66
8.53	10.85
7.35	11.38
8.56	11.59
11.28	12.07
11.54	11.41
10.56	11.23
10.57	11.1
10.17	10.73
9.19	10.87
11.09	11.36
14.05	11.49
14.6	11.33
13.3	11.07
12.68	11.23
12.72	11.03
12.66	10.77
11.94	10.69
11.57	10.68
11.72	10.52
11.63	10.69
11.5	10.78
11.5	11.13
12.56	10.73
12.75	9.69
11.43	8.94
10.56	9.15
10.27	9.45
10.08	9.61
10.0	9.66
9.38	10.28
9.88	10.92
10.56	11.08
10.83	10.98
11.03	10.27
11.09	9.97
10.79	9.11
9.86	9.14
8.87	8.8
9.0	8.93
8.8	9.29
9.02	10.13
9.62	10.21
9.62	10.14
9.13	9.23
8.51	9.63
8.07	9.71
8.2	9.52
8.5	9.22
8.04	9.2
7.24	9.41
6.88	9.51
9.21	9.84
10.26	9.91
10.6	10.1
11.75	9.69
11.83	9.86
12.57	10.14
12.98	9.96
12.51	9.72
12.58	9.88
11.32	10.18
12.48	10.17
13.01	10.55
13.88	10.15
13.85	9.91
13.83	10.21
14.78	10.45
14.86	10.55
14.98	10.56
14.91	10.89
14.86	11.33
14.82	12.42
14.83	12.74
14.93	12.41
14.76	11.8
14.91	11.84
14.93	12.15
14.87	12.1
14.13	11.74
14.45	11.37
14.35	10.84
14.02	10.59
14.0	10.13
13.45	10.29
12.04	10.19
12.18	10.38
11.63	10.58
11.35	10.28
