FatigueLevel StressLevel
0.536681 0.518336
0.467737 0.515194
0.628018 0.740253
0.481324 0.346358
0.686572 0.820986
0.670539 0.753617
0.004599 0.474738
0.347987 0.448054
0.538060 0.628841
0.562109 0.673786
0.731666 0.900178
0.307504 0.272905
0.111798 0.490000
0.618170 0.876358
0.261366 0.341268
0.548555 0.637403
0.645968 0.783508
0.729442 0.840070
0.775979 0.982559
0.375307 0.418498
0.551973 0.709864
0.729113 0.900293
0.005677 0.442161
0.772480 0.911307
0.535004 0.530134
0.269671 0.394742
0.445132 0.456188
0.525752 0.655181
0.639023 0.621023
0.633205 0.587651
0.550668 0.606022
0.784314 0.963589
0.634027 0.628388
0.775320 0.942103
0.695718 0.560105
0.193051 0.374500
0.317547 0.425149
0.493320 0.325861
0.615631 0.562593
0.045643 0.490000
0.694942 0.797238
0.613562 0.565043
0.255374 0.461157
0.362978 0.422746
0.710084 0.809745
0.452675 0.416879
0.626783 0.717792
0.808021 0.832456
0.448608 0.403961
0.475357 0.451201
0.474980 0.592763
0.695449 0.746139
0.322736 0.482838
0.012158 0.490000
0.084746 0.457787
0.728928 0.935377
0.046551 0.490000
0.036898 0.490000
0.561598 0.580380
0.152307 0.441860
0.057935 0.471571
0.614264 0.663517
0.080814 0.490000
0.038490 0.490000
0.518937 0.552465
0.236736 0.446358
0.745905 0.898713
0.160390 0.490000
0.289140 0.475562
0.328806 0.362669
0.380810 0.457835
0.597967 0.617321
0.085262 0.480205
0.486192 0.624357
0.247588 0.460026
0.314699 0.419883
0.685224 0.811793
0.548324 0.643519
0.099358 0.418431
0.787831 0.963500
0.750898 0.834743
0.493168 0.503193
0.611237 0.695541
0.285031 0.402204
0.673209 0.854181
0.208706 0.462434
0.311445 0.345460
0.457432 0.365557
0.028779 0.482023
0.023001 0.490000
0.176676 0.420454
0.760452 0.963517
0.674362 0.663231
0.665122 0.732603
0.128971 0.462230
0.309109 0.411381
0.621975 0.699658
0.805430 0.922392
0.673579 0.840114
0.664928 0.618772
0.305860 0.428199
0.697610 0.726159
0.150439 0.409652
0.639900 0.672967
0.147224 0.490000
0.484792 0.435993
0.618513 0.698797
0.324816 0.423227
0.644762 0.757409
0.155491 0.439600
0.048836 0.490000
0.572157 0.552284
0.644883 0.825616
0.481810 0.304852
0.645812 0.828368
0.717796 0.833775
0.800228 0.828923
0.789965 0.811483
0.022652 0.408075
0.162665 0.484684
0.341503 0.432564
0.882643 0.993825
0.139323 0.460573
0.661817 0.781148
0.350485 0.465322
0.059082 0.480526
0.385484 0.377959
0.568367 0.565437
0.119781 0.444838
0.784007 0.988587
0.394809 0.357620
0.709198 0.843943
0.345948 0.347278
0.329347 0.484470
0.454133 0.320739
0.785699 0.949015
0.143271 0.386643
0.586952 0.519809
0.315919 0.452139
0.500414 0.502470
0.480595 0.307028
0.397593 0.410377
0.468365 0.419551
0.566837 0.698462
0.555013 0.725185
0.581758 0.689893
0.123865 0.490000
0.818634 0.998167
0.080611 0.466300
0.791135 0.927193
0.627664 0.865325
0.568343 0.534712
0.274764 0.395584
0.199252 0.450017
0.138691 0.457572
0.124646 0.490000
0.533716 0.564435
0.506795 0.519672
0.204476 0.403440
0.068760 0.458968
0.220076 0.490000
0.264825 0.462023
0.772747 0.845002
0.673336 0.825833
0.706163 0.816576
0.605775 0.712747
0.316702 0.451298
0.020364 0.408382
0.364504 0.392412
0.050736 0.490000
0.732644 0.987397
0.460937 0.360084
0.059409 0.490000
0.681418 0.790986
0.573616 0.616856
0.599563 0.705514
0.415765 0.575529
0.142420 0.489204
0.487926 0.411589
0.773073 0.783770
0.658242 0.655654
0.578590 0.623616
0.164332 0.427587
0.730692 0.766801
0.470551 0.583810
0.509930 0.515326
0.808023 0.933647
0.484939 0.378089
0.404681 0.379292
0.097991 0.466147
0.570524 0.819560
0.546204 0.600075
0.720009 0.808924
0.526449 0.561055
0.571075 0.637080
0.658813 0.675313
0.685994 0.840559
0.857247 0.987933
0.619694 0.599771
0.384997 0.358275
0.262378 0.423636
0.160025 0.473473
0.255671 0.394616
0.251319 0.460893
0.636101 0.711869
0.783500 0.898907
0.765561 0.967218
0.729841 0.897725
0.146796 0.458922
0.754434 0.934136
0.708058 0.841624
0.070462 0.429575
0.386122 0.378812
0.835101 0.935375
0.754426 0.710860
0.050389 0.490000
0.003476 0.470119
0.474443 0.361043
0.800864 0.999707
0.608981 0.629067
0.300558 0.468805
0.627184 0.744322
0.434300 0.429161
0.531006 0.634875
0.179746 0.490000
0.690262 0.662595
0.545815 0.613635
0.403720 0.349264
0.591761 0.726100
0.608318 0.702159
0.791457 0.935768
0.739127 0.863585
0.087183 0.490000
0.389938 0.395430
0.753666 0.857912
0.834145 0.934312
0.251568 0.437331
0.158461 0.387708
0.685731 0.769993
0.596730 0.731747
0.475304 0.358825
0.717328 0.825163
0.771344 0.933516
0.424612 0.466456
0.589711 0.633514
0.404199 0.466507
0.686933 0.796175
0.714546 0.878082
0.276927 0.490000
0.777300 0.977762
0.425568 0.307831
0.689912 0.829226
0.058036 0.479742
0.078219 0.398703
0.572983 0.553490
0.417990 0.348467
0.250758 0.397430
0.566270 0.699411
0.342117 0.429634
0.747370 0.857043
0.310066 0.418170
0.711904 0.808463
0.058763 0.490000
0.214092 0.427872
0.531642 0.602921
0.667361 0.683231
0.751875 0.922085
0.237087 0.437417
0.633923 0.722951
0.679070 0.810458
0.636531 0.816311
0.749886 0.815780
0.443606 0.449166
0.850815 0.956182
0.351829 0.431615
0.388206 0.414572
0.536527 0.540815
0.629537 0.862629
0.515313 0.613328
0.524726 0.542829
0.451276 0.387576
0.020388 0.490000
0.493443 0.312323
0.554993 0.610385
0.010292 0.411256
0.092427 0.475977
0.718894 0.811930
0.690270 0.770633
0.638986 0.759541
0.377776 0.343603
0.493001 0.301893
0.433088 0.461647
0.630477 0.576208
0.077997 0.490000
0.526388 0.546950
0.632092 0.653965
0.739868 0.800806
0.717816 0.846313
