================================================================================
DATASET SUMMARY SENT TO LLM
================================================================================

The dataset contains 566 observations of two variables.

Variable_X:
  - Range: [0.05, 18.32]

Variable_Y:
  - Range: [0.21, 16.34]

Sample data (randomly sampled 200 rows):
 Variable_X  Variable_Y
     3.1779      3.5015
     0.0500      0.8023
     6.5192      7.0577
     0.0502      1.0830
     0.7011      1.5462
     4.4623      5.1083
     7.5309      5.5706
     0.7101      0.5776
     0.4396      1.7824
     5.7600      7.9162
    10.1700     10.7300
    14.9300     12.4100
     5.3295      4.5920
     4.8400      7.8401
     0.4309      1.8467
    14.1300     11.7400
     5.5203      5.1153
     0.4544      1.8814
     1.0767      2.3824
    12.5700     10.1400
    14.8600     11.3300
     9.9400      9.1900
     6.3000      8.1097
     7.5534      5.0114
     0.7017      1.4541
    10.5600      9.7200
    10.2700     13.0900
    11.0900      9.9700
     6.6300      8.2613
     6.8577      4.9292
     0.7081      1.1906
     9.0400     10.6800
    10.3100     12.3700
    12.6600     10.7700
     5.1875      3.9319
     2.1857      4.1096
     7.3500     11.3800
     9.1900     10.8700
    13.4500     10.2900
     7.2790      5.1510
     4.7408      4.6903
     5.2231      4.8694
     9.3800     10.2800
     5.6093      5.4321
    17.6700     13.0800
    11.6300     12.2100
     0.2478      0.7421
     5.0326      5.2103
     0.4713      4.0915
     9.2400     10.8700
    13.8300     10.2100
    11.6900     13.6600
     5.1891      4.0330
     9.1400     10.7700
     5.9800     11.2000
     5.8200      8.7349
     0.2095      1.1940
     0.4657      1.5032
     5.9618      7.6380
    12.9800      9.9600
    10.5700     11.1000
     3.7778      4.8960
     7.2269      6.6240
     4.7935      4.2847
     9.1300      9.2300
     4.9500      4.1993
     4.9970      4.7267
     3.8711      4.5006
     5.4400      8.5814
    11.0900     11.3600
     4.7297      4.7683
    11.2800     12.0700
     5.1609      4.5298
     0.5486      2.5040
     5.8408      5.6347
    11.5400     11.4100
     0.2110      1.3816
     4.8160      4.5884
    14.6000     11.3300
     8.7300     12.7200
     0.4099      3.4072
     4.7814      5.3890
     6.0800      8.0570
     0.4568      1.7941
     5.7383      4.9118
     0.1958      1.2051
     0.4900      3.5087
     4.9500      3.9444
     5.4778      5.1458
    10.2700      9.4500
     8.5600     11.5900
     0.5380      2.7833
     9.6500      8.6500
    14.3500     10.8400
     5.8846      5.3312
     4.7476      4.4164
     5.7900      7.9600
     8.5300     10.8500
     0.4353      1.9768
     4.5712      4.6645
     5.0623      5.8801
     9.8100     11.2500
     3.5761      4.6271
    10.5700     11.0600
    14.9100     10.8900
     0.4301      2.4710
    11.4600     11.3900
     4.2030      5.1118
     5.4700      6.3794
    12.6800     11.2300
     0.0504      0.6440
     0.4251      2.7842
    17.3400     13.2000
     4.5499      4.2109
     9.6200     10.1400
     6.5700      8.1169
     6.4900     10.6100
     4.7079      4.4173
    11.0000     13.1200
     3.7520      5.2331
    13.2100     14.7600
     4.0031      3.5638
     4.8972      5.1716
     4.9302      4.4372
     3.5483      5.0650
    12.7200     11.0300
    13.0100     10.5500
     0.2126      1.1175
    10.7200      9.6600
    13.4300     12.3400
     0.0486      0.8456
     1.8569      3.5007
     0.0659      0.3577
     4.3528      3.9621
     0.4492      3.8871
     0.4493      1.3299
     5.8434      5.4084
    12.6800     13.3500
     5.6400      8.1500
    15.6400     15.7200
    11.7200     10.5200
     4.6381      4.2186
    11.0300     10.2700
     5.9005      7.5552
     4.4919      4.5063
     0.4313      2.6784
     0.4900      2.3230
     5.7751      4.9576
     0.4637      1.5080
     6.1000      6.9600
     0.7053      1.1900
     5.8800      8.1802
     0.4261      2.1781
     9.1600     11.0200
     0.5157      2.1104
    10.9600     10.0300
     4.0431      5.2202
     0.7053      1.3221
    14.7600     11.8000
     7.2400      9.4100
     0.4271      1.7222
     6.0000      7.7200
     0.4287      2.9100
     4.7200      8.6524
     0.7090      0.8304
     0.5086      3.3110
     4.5775      4.3249
     0.0495      0.9058
     0.5358      2.5290
     8.8000      9.2900
    14.7800     10.4500
     4.3953      4.5644
     0.4620      2.0243
     0.2106      1.3058
    13.5800     12.2600
     9.9100      9.0200
     0.5228      3.3137
    11.0000     11.5100
     3.6535      4.1127
     0.7061      1.2390
     0.7105      0.7650
     0.4545      4.0025
     0.1141      0.8375
    14.3000     15.0900
     5.0314      4.8683
    17.4100     14.7400
     0.5083      3.0685
     0.7104      0.6330
     3.7243      4.2131
    11.9300     15.2800
     4.4115      4.5789
     0.4233      2.6989
     0.0537      0.3836
     6.9488      7.0893
     4.5402      4.3177
    14.4500     11.3700
     9.2100      9.8400
     6.1259      5.3873
     3.6875      4.2197
     0.5059      3.7273

... (366 more rows)

**Domain Context**: Research suggests that the causal relationship between these variables switches based on the value of 'Variable_X'. 
