================================================================================
DATASET SUMMARY SENT TO LLM
================================================================================

The dataset contains 1000 observations of two variables.

Variable_X:
  - Range: [0.00, 0.89]

Variable_Y:
  - Range: [0.26, 1.00]

Sample data (randomly sampled 200 rows):
 Variable_X  Variable_Y
   0.051562    0.490000
   0.407234    0.435293
   0.363046    0.373038
   0.435730    0.464752
   0.045603    0.490000
   0.562446    0.511819
   0.228035    0.467170
   0.722513    0.888298
   0.336259    0.377397
   0.143271    0.386643
   0.029042    0.425276
   0.685224    0.811793
   0.479988    0.547857
   0.413229    0.292983
   0.007197    0.479660
   0.831808    0.993893
   0.451276    0.387576
   0.735666    0.862169
   0.597557    0.595934
   0.702708    0.950012
   0.678284    0.772245
   0.573616    0.616856
   0.258150    0.368502
   0.279202    0.366322
   0.708058    0.841624
   0.834145    0.934312
   0.697610    0.726159
   0.380755    0.430255
   0.376187    0.371685
   0.462347    0.267756
   0.536970    0.670936
   0.500414    0.502470
   0.623572    0.739591
   0.584822    0.609607
   0.606933    0.749098
   0.619694    0.599771
   0.438670    0.350823
   0.684542    0.918507
   0.727548    0.736605
   0.152307    0.441860
   0.682789    0.853238
   0.621975    0.699658
   0.483327    0.333658
   0.714223    0.874826
   0.758669    0.792677
   0.629537    0.862629
   0.088555    0.447873
   0.466209    0.541191
   0.351509    0.423077
   0.175458    0.490000
   0.469749    0.273906
   0.713017    0.841648
   0.711904    0.808463
   0.099837    0.393343
   0.772480    0.911307
   0.550668    0.606022
   0.468077    0.346597
   0.731666    0.900178
   0.627184    0.744322
   0.581960    0.661805
   0.739868    0.800806
   0.084746    0.457787
   0.571929    0.679617
   0.754434    0.934136
   0.488889    0.536223
   0.737267    0.854530
   0.630415    0.809306
   0.459825    0.579772
   0.380810    0.457835
   0.654709    0.808325
   0.324816    0.423227
   0.018443    0.411391
   0.357298    0.480550
   0.475206    0.355782
   0.630477    0.576208
   0.377776    0.343603
   0.232799    0.413026
   0.045643    0.490000
   0.634815    0.901513
   0.804578    0.933959
   0.318715    0.426599
   0.745905    0.898713
   0.388206    0.414572
   0.160390    0.490000
   0.476964    0.350621
   0.303215    0.412614
   0.142856    0.425274
   0.617431    0.848736
   0.097896    0.423161
   0.808866    0.919058
   0.185079    0.490000
   0.651318    0.642436
   0.652832    0.785305
   0.800864    0.999707
   0.450579    0.324911
   0.231849    0.490000
   0.838794    0.981463
   0.028779    0.482023
   0.038490    0.490000
   0.008294    0.475884
   0.571094    0.618772
   0.236107    0.416716
   0.490522    0.512293
   0.250758    0.397430
   0.034681    0.490000
   0.636726    0.847734
   0.515947    0.553438
   0.288452    0.437515
   0.364504    0.392412
   0.072447    0.490000
   0.443852    0.376672
   0.146072    0.462193
   0.645157    0.584879
   0.686609    0.921017
   0.311445    0.345460
   0.691015    0.725884
   0.470551    0.583810
   0.265677    0.401556
   0.534844    0.590719
   0.526388    0.546950
   0.011636    0.490000
   0.214497    0.466180
   0.433536    0.379843
   0.310066    0.418170
   0.158461    0.387708
   0.313779    0.490000
   0.618103    0.597889
   0.227828    0.405771
   0.884120    0.960424
   0.623554    0.670624
   0.159002    0.454726
   0.046837    0.397013
   0.667361    0.683231
   0.188130    0.441827
   0.259395    0.389050
   0.728928    0.935377
   0.341503    0.432564
   0.050389    0.490000
   0.269671    0.394742
   0.085262    0.480205
   0.710084    0.809745
   0.714546    0.878082
   0.485362    0.516263
   0.020388    0.490000
   0.558390    0.608370
   0.086601    0.447032
   0.174605    0.426854
   0.589711    0.633514
   0.287737    0.377392
   0.155856    0.439773
   0.765425    0.789193
   0.204476    0.403440
   0.595434    0.742936
   0.771137    0.866557
   0.094061    0.490000
   0.565543    0.571248
   0.750660    0.932179
   0.348508    0.382003
   0.057935    0.471571
   0.041750    0.490000
   0.736326    0.908917
   0.113968    0.479333
   0.069747    0.471957
   0.261549    0.402150
   0.141017    0.489315
   0.481086    0.324517
   0.037022    0.490000
   0.496482    0.275268
   0.723224    0.823737
   0.183892    0.473686
   0.377271    0.440858
   0.401740    0.351355
   0.048836    0.490000
   0.247210    0.381107
   0.055599    0.480847
   0.575878    0.791085
   0.572983    0.553490
   0.747370    0.857043
   0.631357    0.769581
   0.675695    0.894849
   0.663858    0.775113
   0.375436    0.415359
   0.331751    0.417158
   0.565403    0.696247
   0.180095    0.490000
   0.586952    0.519809
   0.179233    0.440614
   0.573270    0.565622
   0.558151    0.520786
   0.757131    0.851232
   0.573495    0.803547
   0.388573    0.460953
   0.330099    0.296874
   0.384997    0.358275
   0.835101    0.935375
   0.566318    0.684263
   0.671201    0.731311
   0.146796    0.458922
   0.797819    0.880514
   0.099358    0.418431

... (800 more rows)

**Domain Context**: Research suggests that the causal relationship between these variables switches based on the value of 'Variable_Y'. 
