================================================================================
DATASET SUMMARY SENT TO LLM
================================================================================

Dataset: auto_mpg_horsepower

The dataset contains 392 observations of two variables: 'horsepower' and 'mpg'.

Variable 'horsepower':
  - Range: [46.00, 230.00]

Variable 'mpg':
  - Range: [9.00, 46.60]

Sample data (randomly sampled 200 rows):
 horsepower  mpg
       69.0 26.0
      115.0 21.6
       60.0 36.1
       70.0 26.0
       86.0 27.0
       75.0 28.0
      170.0 13.0
       75.0 26.0
       95.0 19.0
       49.0 29.0
      190.0 15.0
      108.0 19.0
      155.0 16.9
       75.0 29.0
      133.0 16.2
       88.0 28.0
       95.0 20.0
       75.0 32.4
       80.0 27.4
       88.0 35.0
       95.0 22.0
       52.0 44.0
       68.0 34.1
      130.0 18.0
       67.0 26.0
       90.0 26.0
       87.0 21.0
      105.0 16.0
       46.0 26.0
       76.0 22.0
      145.0 15.0
       90.0 19.4
      125.0 19.2
       74.0 31.6
      150.0 13.0
       67.0 38.0
      140.0 14.0
       80.0 25.0
      140.0 13.0
      215.0 10.0
      130.0 13.0
       75.0 24.0
       74.0 36.0
       78.0 26.0
      148.0 14.0
      215.0 13.0
      100.0 19.0
       69.0 37.3
       72.0 21.0
       70.0 29.0
      153.0 14.0
       95.0 24.0
       90.0 28.0
       88.0 36.0
      112.0 22.0
      110.0 16.0
      110.0 20.0
      100.0 20.0
       95.0 25.0
       95.0 25.0
      225.0 12.0
       90.0 22.5
      115.0 26.8
       88.0 23.0
       95.0 21.1
       81.0 25.0
       88.0 25.1
       70.0 29.0
      110.0 19.9
      198.0 15.0
       72.0 22.0
      175.0 13.0
       97.0 22.0
       90.0 18.0
       85.0 17.6
       80.0 28.0
      145.0 15.0
      150.0 16.0
       88.0 27.0
      110.0 18.6
       92.0 25.0
       97.0 18.0
      150.0 15.0
       64.0 39.0
      190.0 15.5
       62.0 29.8
      110.0 25.0
      115.0 21.5
      110.0 17.0
      100.0 16.0
       88.0 22.3
       76.0 30.7
       67.0 30.0
       85.0 31.0
      105.0 19.2
      120.0 16.5
      112.0 18.0
      170.0 13.0
       95.0 27.5
       97.0 18.0
      208.0 11.0
      110.0 17.0
      215.0 14.0
       46.0 26.0
       70.0 34.2
       65.0 34.4
       60.0 35.1
       91.0 20.0
       98.0 22.0
      135.0 18.2
       67.0 32.0
       71.0 31.9
       86.0 21.0
       86.0 22.0
       65.0 37.2
      100.0 32.9
      140.0 19.4
       72.0 15.0
       94.0 22.0
       85.0 21.0
       92.0 37.0
       90.0 21.0
      100.0 15.0
       68.0 31.0
       95.0 23.0
       88.0 24.5
       52.0 29.0
       78.0 30.5
       72.0 15.0
       63.0 34.7
       88.0 27.0
       86.0 28.0
      112.0 19.0
       76.0 41.5
      145.0 17.5
       83.0 29.0
       93.0 26.0
       65.0 31.8
      100.0 18.0
      138.0 16.5
      145.0 13.0
      100.0 19.0
       67.0 30.0
       90.0 20.0
       85.0 19.0
       90.0 27.0
       78.0 23.0
      220.0 14.0
      110.0 20.6
      105.0 27.9
      170.0 15.0
       70.0 32.0
      167.0 12.0
       97.0 23.0
       70.0 33.5
       89.0 25.5
       65.0 40.8
      180.0 16.5
       67.0 32.3
       48.0 44.3
      198.0 12.0
       52.0 32.8
       97.0 24.0
      139.0 18.1
      150.0 14.0
      190.0 13.0
      180.0 11.0
      105.0 18.0
       61.0 32.0
       71.0 27.2
      100.0 16.0
      110.0 17.5
      160.0 12.0
      113.0 26.0
      165.0 14.0
       75.0 28.0
      122.0 20.0
      155.0 13.0
       84.0 27.2
       84.0 29.0
       90.0 19.1
       90.0 28.0
       90.0 27.0
      100.0 19.0
       75.0 26.0
      170.0 15.5
      145.0 13.0
       85.0 38.0
       78.0 18.0
      100.0 23.7
       60.0 24.5
       88.0 34.0
      125.0 23.0
       79.0 26.0
       53.0 33.0
       68.0 29.5
      130.0 15.0
       92.0 24.0
       65.0 32.0
      175.0 14.0

... (192 more rows)

**Domain Context**: Research suggests that the causal relationship between these variables switches based on the value of 'horsepower'. 
