================================================================================
DATASET SUMMARY SENT TO LLM
================================================================================

The dataset contains 392 observations of two variables.
Data is segmented by **Variable_X** at threshold **140.0** into two regimes:

## REGIME 0 (Low): Variable_X ≤ 140.0
Observations: 308

Variable 'Variable_X' (Low regime):
  - Range: [46.00, 139.00]

Variable 'Variable_Y' (Low regime):
  - Range: [13.00, 46.60]

Sample data from Low regime (randomly sampled 100 rows):
 Variable_X  Variable_Y
       63.0        38.0
       95.0        25.0
       72.0        21.0
       85.0        19.0
       90.0        28.0
       49.0        29.0
       72.0        15.0
       95.0        27.5
       67.0        33.8
       80.0        28.0
       75.0        25.0
      110.0        21.5
       67.0        32.0
       84.0        32.0
       92.0        24.0
       70.0        36.0
       88.0        27.0
       88.0        24.5
      110.0        21.5
       70.0        39.4
       80.0        26.0
       78.0        23.0
       72.0        26.5
      125.0        19.2
      100.0        16.0
       95.0        20.5
       98.0        22.0
       80.0        25.0
      110.0        22.4
       84.0        26.6
       97.0        18.0
       97.0        18.0
       52.0        31.0
       65.0        37.0
       72.0        15.0
       75.0        29.0
       97.0        23.0
      100.0        17.0
      115.0        21.5
       79.0        26.0
       69.0        26.0
       86.0        23.0
       85.0        20.8
       67.0        30.0
      110.0        25.0
       68.0        29.5
       65.0        37.2
       87.0        25.0
       68.0        37.0
      110.0        16.0
      115.0        25.0
       48.0        44.3
       58.0        36.0
       75.0        28.0
      120.0        18.1
       90.0        19.1
       96.0        32.0
       85.0        19.8
       71.0        31.5
       80.0        27.4
       60.0        38.1
       63.0        30.5
       52.0        29.0
       70.0        29.0
      100.0        23.7
       92.0        37.0
      130.0        17.0
      105.0        18.0
       70.0        33.5
       90.0        18.0
       92.0        25.0
       46.0        26.0
      139.0        18.1
       60.0        27.0
      100.0        19.0
       63.0        34.7
       88.0        20.0
      110.0        17.0
      108.0        19.0
       65.0        34.1
       85.0        17.6
      129.0        17.6
       80.0        30.0
       52.0        32.8
       95.0        19.0
       76.0        41.5
      112.0        19.0
       86.0        28.0
      105.0        19.2
       84.0        27.2
      100.0        18.0
       96.0        25.5
       83.0        29.0
       85.0        38.0
       68.0        31.0
       67.0        31.0
      100.0        19.0
      113.0        26.0
      120.0        24.2
       65.0        40.8
... (208 more rows in Low regime)

## REGIME 1 (High): Variable_X > 140.0
Observations: 84

Variable 'Variable_X' (High regime):
  - Range: [140.00, 230.00]

Variable 'Variable_Y' (High regime):
  - Range: [9.00, 19.40]

Sample data from High regime (full regime 84 rows):
 Variable_X  Variable_Y
      165.0        15.0
      150.0        18.0
      150.0        16.0
      140.0        17.0
      198.0        15.0
      220.0        14.0
      215.0        14.0
      225.0        14.0
      190.0        15.0
      170.0        15.0
      160.0        14.0
      150.0        15.0
      225.0        14.0
      215.0        10.0
      200.0        10.0
      210.0        11.0
      193.0         9.0
      165.0        14.0
      175.0        14.0
      153.0        14.0
      150.0        14.0
      180.0        12.0
      170.0        13.0
      175.0        13.0
      165.0        13.0
      175.0        14.0
      150.0        15.0
      153.0        14.0
      150.0        17.0
      208.0        11.0
      155.0        13.0
      160.0        12.0
      190.0        13.0
      150.0        15.0
      140.0        13.0
      150.0        14.0
      175.0        13.0
      150.0        14.0
      145.0        13.0
      150.0        15.0
      198.0        12.0
      150.0        13.0
      158.0        13.0
      150.0        14.0
      215.0        13.0
      225.0        12.0
      175.0        13.0
      150.0        11.0
      167.0        12.0
      170.0        13.0
      180.0        12.0
      145.0        15.0
      230.0        16.0
      150.0        15.0
      180.0        11.0
      140.0        16.0
      150.0        13.0
      150.0        14.0
      140.0        14.0
      150.0        14.0
      170.0        16.0
      145.0        15.0
      150.0        16.0
      148.0        14.0
      140.0        17.5
      150.0        16.0
      152.0        14.5
      150.0        13.0
      180.0        16.5
      145.0        13.0
      150.0        13.0
      145.0        17.5
      145.0        15.5
      180.0        16.0
      170.0        15.5
      190.0        15.5
      149.0        16.0
      140.0        19.4
      145.0        19.2
      165.0        17.7
      140.0        17.5
      155.0        16.9
      142.0        15.5
      150.0        18.5
