================================================================================
DATASET SUMMARY SENT TO LLM
================================================================================

The dataset contains 710 observations of two variables.
Data is segmented by **Variable_Y** at threshold **5.4** into two regimes:

## REGIME 0 (Low): Variable_Y ≤ 5.4
Observations: 577

Variable 'Variable_X' (Low regime):
  - Range: [0.07, 11.64]

Variable 'Variable_Y' (Low regime):
  - Range: [0.60, 5.30]

Sample data from Low regime (randomly sampled 100 rows):
 Variable_X  Variable_Y
       4.13         3.5
       2.09         2.8
       0.07         2.2
       5.17         2.4
       3.26         2.1
       7.09         3.0
       9.99         4.9
       3.32         1.7
       3.85         1.2
       7.48         4.1
       4.76         2.1
      10.01         4.3
       8.28         4.9
       3.36         1.3
       0.08         1.7
       2.93         1.3
       5.80         2.9
       3.52         1.2
      10.50         3.2
       0.41         2.1
       9.59         4.8
       0.18         1.8
       1.43         1.7
       0.08         2.3
       7.09         4.3
       3.42         1.6
       9.81         4.6
       5.25         2.2
       1.20         2.8
       5.52         2.4
       4.25         2.9
       3.10         3.5
       1.73         2.6
       0.07         1.6
       7.29         4.3
       3.98         3.9
       0.08         2.2
       2.27         1.7
       3.50         0.9
       0.68         2.4
       0.15         1.9
       4.04         1.2
       1.26         1.5
       0.34         2.2
       9.37         3.0
       0.09         1.8
       0.07         1.6
       0.09         1.7
       6.85         4.0
       0.08         1.8
       0.40         2.1
       3.48         1.9
       3.76         3.8
       3.50         1.6
       0.10         1.9
       3.23         1.3
       0.12         1.7
       7.97         4.5
       4.27         3.1
       1.75         2.2
       0.19         0.9
       5.19         2.5
       1.49         1.0
       1.00         1.8
       2.01         2.5
       3.48         1.9
       1.24         1.9
       5.00         3.6
       4.00         2.1
       3.48         1.6
       4.09         1.2
       8.15         5.0
       0.10         2.2
       2.42         1.7
       5.40         3.0
       9.47         4.8
       5.45         2.6
       0.15         2.0
       7.31         5.2
       0.09         1.7
       0.36         2.2
       0.16         1.5
       8.50         4.7
       6.54         2.5
       7.86         4.2
       5.04         3.0
       6.02         5.1
       5.33         3.0
       1.80         1.7
       4.91         4.9
       4.03         3.9
       0.16         1.9
       3.90         1.6
       1.75         2.5
       3.05         2.9
       5.55         4.4
       4.53         3.6
       0.11         1.8
       3.29         3.3
       0.22         1.8
... (477 more rows in Low regime)

## REGIME 1 (High): Variable_Y > 5.4
Observations: 133

Variable 'Variable_X' (High regime):
  - Range: [3.72, 19.10]

Variable 'Variable_Y' (High regime):
  - Range: [5.40, 13.60]

Sample data from High regime (randomly sampled 100 rows):
 Variable_X  Variable_Y
       5.29         6.5
       6.51         5.9
      11.34        10.2
       6.14         8.2
      13.31        10.2
       7.81         7.4
      10.31         5.9
       5.02         6.7
       5.55         9.6
       7.76         6.1
       9.76         8.7
      10.51         6.2
      15.93        10.9
       9.47        13.6
       5.90         6.2
      10.07         8.6
       8.61         5.8
      11.31         6.8
       6.20         6.4
      14.45         8.7
       6.24        11.7
       7.21         6.2
       6.29         6.2
       8.98         6.2
       5.42         6.3
       5.82         7.0
       8.98         6.1
      12.59         7.6
      14.70        10.0
       8.04         7.5
       8.96         8.4
      17.19        12.5
       6.79         5.6
       5.22         6.8
      10.06         9.2
       8.97         5.4
       9.71         5.9
      15.87        11.8
       5.25         6.8
       7.60         6.5
      13.18        10.6
       4.73         6.3
       4.14         6.3
       4.87         6.7
       6.14         6.2
      14.13        12.0
      12.01         9.6
       6.79         6.3
       5.39         6.6
       8.97         6.2
       9.45        11.2
       6.47         6.0
       9.35         5.8
       7.60         7.0
      11.93         7.9
      13.82        12.0
      14.94         8.9
      13.78        11.3
       5.31         6.7
       9.19         5.8
       6.56         6.5
       9.03        12.4
       5.22        10.5
       4.84         6.6
       7.13        11.5
       8.53        11.1
      15.72         9.5
       9.00         6.0
       6.24         7.7
      14.78         9.1
       8.13         5.5
      19.10         9.4
       8.85         5.9
       8.10         5.8
       6.91         5.6
       8.90         5.8
       6.61         6.2
       5.49        11.3
       6.78         6.2
      12.37         9.5
       9.15         6.0
      10.09         9.3
      17.82        11.6
      15.85        12.1
       5.29         6.8
       4.82         6.4
      17.61        13.0
       5.20         6.7
      10.47         9.6
       4.69         6.2
       8.20         5.5
       8.45         7.9
      12.81        12.3
      11.43         9.9
       6.10         9.1
       4.65         6.1
      10.94        10.0
       4.77         6.5
      10.29         9.3
      19.04        11.1
... (33 more rows in High regime)
