================================================================================
DATASET SUMMARY SENT TO LLM
================================================================================

The dataset contains 566 observations of two variables: 'InterestShortUK' and 'InterestLongUK'.
Data is segmented by **InterestShortUK** at threshold **3.5** into two regimes:

## REGIME 0 (Low): InterestShortUK ≤ 3.5
Observations: 173

Variable 'InterestShortUK' (Low regime):
  - Range: [0.05, 3.43]

Variable 'InterestLongUK' (Low regime):
  - Range: [0.21, 4.91]

Sample data from Low regime (randomly sampled 100 rows):
 InterestShortUK  InterestLongUK
          0.5623          1.5457
          0.4900          2.3230
          0.4646          1.5434
          0.4299          2.8443
          0.4637          1.5080
          0.7104          0.6330
          0.4993          2.2191
          0.4492          3.8871
          0.4634          1.6034
          0.2123          1.2436
          0.7053          1.3221
          0.4549          2.1353
          0.4568          1.7941
          0.5347          2.2917
          0.5240          3.7619
          0.4158          3.7221
          0.4619          1.2781
          0.4336          1.9462
          0.5010          3.1271
          0.0498          0.8549
          0.4598          1.3105
          0.4859          1.7698
          0.0537          0.3836
          0.5084          3.8799
          0.4396          1.7824
          0.4197          2.8147
          0.0562          0.2717
          0.4726          4.1007
          0.4545          4.0025
          0.0646          0.2780
          0.5154          3.7386
          0.4713          4.0915
          0.4302          3.6566
          0.0659          0.3577
          0.4617          1.5108
          0.0506          0.6979
          0.7113          0.7235
          0.0492          0.3224
          0.4309          1.8467
          0.7053          1.1900
          0.4159          2.7837
          0.6911          1.3991
          2.7846          4.2571
          0.2120          1.0780
          2.1857          4.1096
          0.0486          0.8456
          0.9158          1.9069
          0.4622          1.8460
          0.5086          3.3110
          0.0502          1.0830
          1.1908          2.1454
          0.2106          1.3058
          0.4233          2.6989
          0.5486          2.5040
          0.7108          0.6373
          0.4900          3.5087
          0.0599          0.2094
          0.2478          0.7421
          0.4220          2.7417
          0.2135          1.4203
          0.4220          3.7142
          0.4355          1.5890
          0.4280          1.9287
          0.5224          3.2497
          0.5173          3.6098
          0.7061          1.2390
          1.3260          3.6699
          0.5217          3.5053
          0.4251          2.7842
          0.4545          1.3739
          0.4199          1.4891
          0.4173          3.8238
          0.2126          1.1175
          0.7012          1.5023
          3.2923          4.4078
          0.0674          0.2743
          0.7017          1.4541
          0.4287          2.9100
          0.4848          1.9416
          0.2130          0.8243
          0.5059          3.7273
          0.5157          2.1104
          0.7026          1.3125
          0.5083          3.0685
          0.4910          3.2330
          0.7094          1.1300
          0.4566          2.1696
          0.4574          1.7550
          0.4544          1.8814
          0.5201          2.1828
          0.2108          1.3818
          0.4636          1.9779
          0.4507          1.4229
          1.8569          3.5007
          0.0538          0.3058
          0.4500          1.6735
          0.4577          0.9569
          0.3192          0.4609
          0.4313          2.6784
          0.4308          2.2469
... (73 more rows in Low regime)

## REGIME 1 (High): InterestShortUK > 3.5
Observations: 393

Variable 'InterestShortUK' (High regime):
  - Range: [3.50, 18.32]

Variable 'InterestLongUK' (High regime):
  - Range: [3.56, 16.34]

Sample data from High regime (randomly sampled 100 rows):
 InterestShortUK  InterestLongUK
         11.2800         12.0700
          5.7383          4.9118
          7.5309          5.5706
         11.6300         12.2100
          4.9500          4.1993
          5.4400          8.5814
         11.9300         15.2800
          6.2227          7.1418
         14.9100         11.8400
          9.6200         10.2100
          8.7300         12.7200
          5.8800          8.1802
          5.9122          5.4033
         10.5600          9.7200
          4.9302          4.4372
          5.9811          5.0983
          7.2400          9.4100
          5.8846          5.3312
          4.0574          4.9251
          4.6381          4.2186
         11.4600         11.3900
          4.7476          4.4164
          5.2231          4.8694
          6.4900         10.6100
         13.8300         10.2100
          9.0000          8.9300
          8.5600         11.5900
         17.3400         13.2000
         10.2700          9.4500
          7.3500         11.3800
         14.3500         10.8400
          4.0031          3.5638
          4.0431          5.2202
          5.8246          4.9928
         12.6600         10.7700
          4.9970          5.3721
         13.0100         10.5500
         10.4300         10.6900
          9.2400         10.8700
         17.4100         14.7400
          9.1400         10.7700
         14.8600         11.3300
          4.1774          3.6503
         14.7800         10.4500
         14.0000         10.1300
         11.7200         10.5200
         15.6400         15.7200
          4.7618          4.5316
         11.0300         10.2700
          4.8400          7.8401
         11.6900         13.6600
         11.0000         11.5100
         17.6700         13.0800
          5.1854          4.4199
          5.2000          4.1644
         12.9800          9.9600
         10.9600         10.0300
         10.7200          9.6600
         13.2100         14.7600
         16.3600         13.7000
         11.6300         10.6900
          5.4700          6.3794
          5.4778          5.1458
          9.9400          9.1900
          4.7599          4.5419
          5.8800          7.9500
          5.0844          4.6195
          9.9300          9.1200
          7.2790          5.1510
          9.1800         12.4800
         15.9900         16.3400
         11.0900         11.3600
          7.1379          6.3739
         10.7900          9.1100
          5.0314          4.8683
         10.1700         10.7300
          8.8000          9.2900
          5.4400         11.9100
         13.4300         12.3400
          4.5775          4.3249
          6.0000          7.7200
          9.9100          9.0200
         10.5700         11.0600
          4.8026          4.6535
          5.9850          7.1962
          5.1979          4.2172
          5.1891          4.0330
          4.0873          4.8056
          6.0100          8.0871
         12.5700         10.1400
          4.7796          5.1951
          5.7892          4.7263
          7.1462          6.5109
          4.8925          4.5701
          5.3183          4.8960
          6.3000          8.1097
          8.5300         10.8500
          9.3800         10.2800
          5.7620          5.3707
         11.5000         11.7500
... (293 more rows in High regime)
