================================================================================
DATASET SUMMARY SENT TO LLM
================================================================================

The dataset contains 1000 observations of two variables: 'FatigueLevel' and 'StressLevel'.
Data is segmented by **StressLevel** at threshold **0.5** into two regimes:

## REGIME 0 (Low): StressLevel ≤ 0.5
Observations: 500

Variable 'FatigueLevel' (Low regime):
  - Range: [0.00, 0.50]

Variable 'StressLevel' (Low regime):
  - Range: [0.26, 0.49]

Sample data from Low regime (randomly sampled 100 rows):
 FatigueLevel  StressLevel
     0.224223     0.406931
     0.274764     0.395584
     0.097896     0.423161
     0.392588     0.325992
     0.300558     0.468805
     0.449277     0.322413
     0.482816     0.458193
     0.214092     0.427872
     0.480595     0.307028
     0.464849     0.316764
     0.445132     0.456188
     0.307925     0.358704
     0.174605     0.426854
     0.050736     0.490000
     0.493105     0.444404
     0.187135     0.422850
     0.042419     0.490000
     0.289140     0.475562
     0.232799     0.413026
     0.040674     0.490000
     0.380755     0.430255
     0.015250     0.439896
     0.397406     0.386248
     0.470115     0.384848
     0.124646     0.490000
     0.426505     0.289306
     0.321644     0.365738
     0.227828     0.405771
     0.050389     0.490000
     0.145615     0.487458
     0.094061     0.490000
     0.496482     0.275268
     0.141017     0.489315
     0.177986     0.452315
     0.347987     0.448054
     0.304782     0.405261
     0.295417     0.372484
     0.468365     0.419551
     0.351509     0.423077
     0.345948     0.347278
     0.246259     0.437317
     0.384997     0.358275
     0.413229     0.292983
     0.284154     0.352521
     0.085262     0.480205
     0.204476     0.403440
     0.481324     0.346358
     0.317547     0.425149
     0.121028     0.407206
     0.046551     0.490000
     0.080611     0.466300
     0.032526     0.490000
     0.493443     0.312323
     0.353429     0.490000
     0.315569     0.411790
     0.162665     0.484684
     0.476964     0.350621
     0.475357     0.451201
     0.214497     0.466180
     0.068760     0.458968
     0.380393     0.490000
     0.470229     0.309451
     0.316765     0.423528
     0.086647     0.403583
     0.220076     0.490000
     0.311445     0.345460
     0.031779     0.461675
     0.305860     0.428199
     0.278401     0.490000
     0.088720     0.490000
     0.227271     0.464746
     0.401836     0.309521
     0.252626     0.420704
     0.129390     0.402020
     0.416221     0.369407
     0.140482     0.421309
     0.106170     0.490000
     0.397593     0.410377
     0.139967     0.490000
     0.406400     0.310858
     0.465379     0.293619
     0.020364     0.408382
     0.061019     0.433448
     0.373022     0.356206
     0.209800     0.435178
     0.484939     0.378089
     0.185079     0.490000
     0.008294     0.475884
     0.187306     0.490000
     0.036382     0.490000
     0.007728     0.413058
     0.187270     0.460907
     0.081467     0.490000
     0.311649     0.444381
     0.325981     0.379991
     0.254285     0.467796
     0.059409     0.490000
     0.138691     0.457572
     0.261122     0.365211
     0.362978     0.422746
... (400 more rows in Low regime)

## REGIME 1 (High): StressLevel > 0.5
Observations: 500

Variable 'FatigueLevel' (High regime):
  - Range: [0.42, 0.89]

Variable 'StressLevel' (High regime):
  - Range: [0.50, 1.00]

Sample data from High regime (randomly sampled 100 rows):
 FatigueLevel  StressLevel
     0.684141     0.890263
     0.555013     0.725185
     0.804588     0.865795
     0.630477     0.576208
     0.857247     0.987933
     0.556886     0.838257
     0.757131     0.851232
     0.753666     0.857912
     0.709198     0.843943
     0.794993     0.968106
     0.548555     0.637403
     0.569718     0.743334
     0.686609     0.921017
     0.605775     0.712747
     0.576486     0.536748
     0.842328     0.968303
     0.645157     0.584879
     0.808021     0.832456
     0.797819     0.880514
     0.613910     0.675811
     0.678437     0.871353
     0.565615     0.583741
     0.654709     0.808325
     0.687161     0.829354
     0.791135     0.927193
     0.587985     0.727610
     0.636311     0.715444
     0.801172     0.991989
     0.571075     0.637080
     0.681957     0.805167
     0.868584     0.986744
     0.519158     0.568220
     0.660959     0.846218
     0.464138     0.502879
     0.628018     0.740253
     0.636726     0.847734
     0.694137     0.821789
     0.586952     0.519809
     0.646489     0.667559
     0.789965     0.811483
     0.771820     0.968614
     0.730692     0.766801
     0.779167     0.813110
     0.536970     0.670936
     0.728928     0.935377
     0.627664     0.865325
     0.536681     0.518336
     0.729442     0.840070
     0.761984     0.902996
     0.634027     0.628388
     0.566837     0.698462
     0.588165     0.726895
     0.686933     0.796175
     0.581960     0.661805
     0.575878     0.791085
     0.639900     0.672967
     0.629537     0.862629
     0.639023     0.621023
     0.736777     0.854086
     0.568343     0.534712
     0.743103     0.834106
     0.625699     0.760479
     0.623446     0.645831
     0.526811     0.583521
     0.533716     0.564435
     0.486192     0.624357
     0.586010     0.536598
     0.673209     0.854181
     0.562566     0.606552
     0.602388     0.716167
     0.492051     0.520055
     0.866496     0.984706
     0.766613     0.996242
     0.697855     0.767914
     0.825156     0.936712
     0.634815     0.901513
     0.612345     0.676711
     0.785699     0.949015
     0.782909     0.985698
     0.503157     0.525986
     0.638986     0.759541
     0.673336     0.825833
     0.556798     0.672942
     0.634631     0.778892
     0.663080     0.997070
     0.773073     0.783770
     0.687660     0.833797
     0.707270     0.842783
     0.586531     0.607838
     0.659421     0.740761
     0.597557     0.595934
     0.650004     0.744423
     0.793094     0.886737
     0.511720     0.564197
     0.697655     0.765585
     0.738818     0.966938
     0.681418     0.790986
     0.818634     0.998167
     0.814295     0.984956
     0.772480     0.911307
... (400 more rows in High regime)
